,deg,dist,dt,gust,humidity,name,pressure,speed,temp,temp_max,temp_min
0,51.0,80.47580530446831,2019/11/06 00:01:25,,71,Nantong,1017,1.54,14.230000000000018,288.71,285.93
1,30.0,80.47580530446831,2019/11/06 01:00:13,,73,Nantong,1016,1.82,13.900000000000034,288.15,285.93
2,30.0,80.47580530446831,2019/11/06 02:00:11,,74,Nantong,1016,1.82,13.350000000000023,288.15,284.82
3,30.0,80.47580530446831,2019/11/06 03:00:11,,76,Nantong,1015,1.82,13.470000000000027,288.15,285.37
4,32.0,80.47580530446831,2019/11/06 04:00:11,,77,Nantong,1015,1.58,12.680000000000007,287.59,283.71
5,32.0,80.47580530446831,2019/11/06 05:00:14,,78,Nantong,1015,1.58,12.57000000000005,287.59,283.71
6,32.0,80.47580530446831,2019/11/06 06:00:13,,79,Nantong,1015,1.58,12.240000000000009,287.04,283.71
7,44.0,80.47580530446831,2019/11/06 07:00:14,,78,Nantong,1016,1.35,15.140000000000043,289.82,286.48
8,44.0,80.47580530446831,2019/11/06 08:00:13,,76,Nantong,1016,1.35,16.180000000000007,291.48,287.59
9,46.0,80.47580530446831,2019/11/06 08:58:22,,73,Nantong,1016,1.5,16.129999999999995,289.82,288.71
10,225.0,80.47580530446831,2019/11/06 10:00:13,2.24,65,Nantong,1015,0.45,21.150000000000034,297.59,290.93
11,118.0,80.47580530446831,2019/11/06 11:00:11,,60,Nantong,1015,1.79,21.870000000000005,299.26,292.04
12,118.0,80.47580530446831,2019/11/06 12:00:11,,56,Nantong,1014,1.79,21.180000000000007,295.93,293.15
13,156.0,80.47580530446831,2019/11/06 13:00:12,,52,Nantong,1012,0.4,21.379999999999995,295.37,293.15
14,156.0,80.47580530446831,2019/11/06 14:00:14,,54,Nantong,1012,0.4,21.920000000000016,296.48,293.71
15,156.0,80.47580530446831,2019/11/06 15:00:14,,56,Nantong,1012,0.4,21.52000000000004,295.93,293.15
16,64.0,80.47580530446831,2019/11/06 16:00:12,,55,Nantong,1012,2.13,21.03000000000003,294.82,293.15
17,64.0,80.47580530446831,2019/11/06 17:00:27,,56,Nantong,1012,2.13,19.08000000000004,293.15,290.93
18,,80.47580530446831,2019/11/06 18:00:13,1.34,64,Nantong,1012,0.45,18.430000000000007,292.59,290.37
19,270.0,80.47580530446831,2019/11/06 19:00:14,1.79,66,Nantong,1013,0.45,18.160000000000025,292.59,290.37
20,82.0,80.47580530446831,2019/11/06 20:00:14,,67,Nantong,1013,2.97,17.79000000000002,292.59,289.82
21,82.0,80.47580530446831,2019/11/06 21:01:54,,68,Nantong,1014,2.97,17.110000000000014,290.93,289.82
22,86.0,80.47580530446831,2019/11/06 22:00:14,,68,Nantong,1014,1.66,16.77000000000004,290.93,289.26
23,86.0,80.47580530446831,2019/11/06 23:00:16,,69,Nantong,1014,1.66,16.760000000000048,290.93,288.71
