,deg,dist,dt,humidity,name,pressure,speed,temp,temp_max,temp_min
0,91,322.48873560914217,2019/11/06 00:01:24,56,Wuhu,1020,1.6,12.75,285.9,285.9
1,73,322.48873560914217,2019/11/06 01:00:12,65,Wuhu,1019,2.63,11.700000000000045,284.85,284.85
2,73,322.48873560914217,2019/11/06 02:00:10,65,Wuhu,1019,2.63,11.700000000000045,284.85,284.85
3,73,322.48873560914217,2019/11/06 03:00:10,65,Wuhu,1019,2.63,11.700000000000045,284.85,284.85
4,87,322.48873560914217,2019/11/06 04:00:10,68,Wuhu,1019,2.43,11.07000000000005,284.22,284.22
5,87,322.48873560914217,2019/11/06 05:00:13,68,Wuhu,1019,2.43,11.07000000000005,284.22,284.22
6,87,322.48873560914217,2019/11/06 06:00:12,68,Wuhu,1019,2.43,11.07000000000005,284.22,284.22
7,92,322.48873560914217,2019/11/06 07:00:11,64,Wuhu,1019,2.88,13.110000000000014,286.26,286.26
8,92,322.48873560914217,2019/11/06 08:00:12,64,Wuhu,1019,2.88,13.110000000000014,286.26,286.26
9,92,322.48873560914217,2019/11/06 09:00:12,64,Wuhu,1019,2.88,13.110000000000014,286.26,286.26
10,94,322.48873560914217,2019/11/06 10:00:11,46,Wuhu,1018,4.6,19.340000000000032,292.49,292.49
11,94,322.48873560914217,2019/11/06 11:00:10,46,Wuhu,1018,4.6,19.340000000000032,292.49,292.49
12,94,322.48873560914217,2019/11/06 12:00:10,46,Wuhu,1018,4.6,19.340000000000032,292.49,292.49
13,94,322.48873560914217,2019/11/06 13:00:11,37,Wuhu,1015,2.47,21.260000000000048,294.41,294.41
14,94,322.48873560914217,2019/11/06 14:00:13,37,Wuhu,1015,2.47,21.260000000000048,294.41,294.41
15,94,322.48873560914217,2019/11/06 15:00:12,37,Wuhu,1015,2.47,21.260000000000048,294.41,294.41
16,42,322.48873560914217,2019/11/06 16:00:11,43,Wuhu,1015,2.34,18.870000000000005,292.02,292.02
17,356,322.48873560914217,2019/11/06 17:00:26,43,Wuhu,1015,1.32,19.230000000000018,292.38,292.38
18,356,322.48873560914217,2019/11/06 18:00:12,43,Wuhu,1015,1.32,19.230000000000018,292.38,292.38
19,66,322.48873560914217,2019/11/06 19:00:13,63,Wuhu,1016,3.22,16.060000000000002,289.21,289.21
20,66,322.48873560914217,2019/11/06 20:00:13,63,Wuhu,1016,3.22,16.060000000000002,289.21,289.21
21,54,322.48873560914217,2019/11/06 21:01:53,51,Wuhu,1017,2.21,16.129999999999995,289.28,289.28
22,16,322.48873560914217,2019/11/06 22:00:13,63,Wuhu,1017,1.25,14.900000000000034,288.05,288.05
23,16,322.48873560914217,2019/11/06 23:00:14,63,Wuhu,1017,1.25,14.900000000000034,288.05,288.05
